user_id,full_name,email,password_hash,role,city,household_size,created_at
1,User_1,user1@example.com,hashed_password,household,Delhi,4,2024-12-09
2,User_2,user2@example.com,hashed_password,household,Mumbai,5,2024-11-04
3,User_3,user3@example.com,hashed_password,household,Chennai,3,2024-12-24
4,User_4,user4@example.com,hashed_password,household,Kolkata,1,2024-01-31
5,User_5,user5@example.com,hashed_password,household,Chennai,3,2024-09-23
6,User_6,user6@example.com,hashed_password,household,Mumbai,1,2024-12-18
7,User_7,user7@example.com,hashed_password,household,Mumbai,6,2024-01-17
8,User_8,user8@example.com,hashed_password,household,Bengaluru,4,2024-07-29
9,User_9,user9@example.com,hashed_password,household,Chennai,5,2024-04-30
10,User_10,user10@example.com,hashed_password,household,Mumbai,6,2024-10-10
11,User_11,user11@example.com,hashed_password,household,Chennai,1,2024-04-18
12,User_12,user12@example.com,hashed_password,household,Hyderabad,1,2024-04-24
13,User_13,user13@example.com,hashed_password,household,Chennai,2,2024-11-29
14,User_14,user14@example.com,hashed_password,household,Pune,1,2024-04-05
15,User_15,user15@example.com,hashed_password,household,Delhi,1,2024-10-18
16,User_16,user16@example.com,hashed_password,household,Hyderabad,1,2024-07-05
17,User_17,user17@example.com,hashed_password,household,Kolkata,4,2024-01-14
18,User_18,user18@example.com,hashed_password,household,Pune,4,2024-07-20
19,User_19,user19@example.com,hashed_password,household,Chennai,6,2024-05-17
20,User_20,user20@example.com,hashed_password,household,Kolkata,6,2024-09-26
21,User_21,user21@example.com,hashed_password,household,Pune,5,2024-05-20
22,User_22,user22@example.com,hashed_password,household,Bengaluru,1,2024-05-28
23,User_23,user23@example.com,hashed_password,household,Pune,6,2024-06-04
24,User_24,user24@example.com,hashed_password,household,Mumbai,3,2024-01-31
25,User_25,user25@example.com,hashed_password,household,Mumbai,6,2024-02-04
26,User_26,user26@example.com,hashed_password,household,Mumbai,5,2024-06-17
27,User_27,user27@example.com,hashed_password,household,Kolkata,4,2024-01-19
28,User_28,user28@example.com,hashed_password,household,Kolkata,4,2024-05-02
29,User_29,user29@example.com,hashed_password,household,Bengaluru,2,2024-12-11
30,User_30,user30@example.com,hashed_password,household,Chennai,5,2024-07-16
31,User_31,user31@example.com,hashed_password,household,Chennai,2,2024-09-03
32,User_32,user32@example.com,hashed_password,household,Chennai,2,2024-07-24
33,User_33,user33@example.com,hashed_password,household,Delhi,4,2024-12-26
34,User_34,user34@example.com,hashed_password,household,Chennai,2,2024-12-16
35,User_35,user35@example.com,hashed_password,household,Mumbai,6,2024-02-26
36,User_36,user36@example.com,hashed_password,household,Pune,5,2024-11-18
37,User_37,user37@example.com,hashed_password,household,Bengaluru,3,2024-04-17
38,User_38,user38@example.com,hashed_password,household,Kolkata,4,2024-12-31
39,User_39,user39@example.com,hashed_password,household,Mumbai,4,2024-09-01
40,User_40,user40@example.com,hashed_password,household,Hyderabad,2,2024-05-28
41,User_41,user41@example.com,hashed_password,household,Mumbai,1,2024-09-15
42,User_42,user42@example.com,hashed_password,household,Delhi,5,2024-04-08
43,User_43,user43@example.com,hashed_password,household,Hyderabad,2,2024-08-18
44,User_44,user44@example.com,hashed_password,household,Chennai,3,2024-06-14
45,User_45,user45@example.com,hashed_password,household,Hyderabad,2,2024-12-18
46,User_46,user46@example.com,hashed_password,household,Bengaluru,1,2024-05-15
47,User_47,user47@example.com,hashed_password,household,Delhi,1,2024-04-25
48,User_48,user48@example.com,hashed_password,household,Kolkata,5,2024-02-16
49,User_49,user49@example.com,hashed_password,household,Mumbai,1,2024-09-07
50,User_50,user50@example.com,hashed_password,household,Hyderabad,3,2024-12-14
51,User_51,user51@example.com,hashed_password,household,Delhi,6,2024-11-08
52,User_52,user52@example.com,hashed_password,household,Pune,1,2024-08-13
53,User_53,user53@example.com,hashed_password,household,Pune,6,2024-01-14
54,User_54,user54@example.com,hashed_password,household,Mumbai,3,2024-09-03
55,User_55,user55@example.com,hashed_password,household,Hyderabad,3,2024-02-04
56,User_56,user56@example.com,hashed_password,household,Hyderabad,5,2024-09-10
57,User_57,user57@example.com,hashed_password,household,Delhi,4,2024-05-20
58,User_58,user58@example.com,hashed_password,household,Pune,4,2024-11-15
59,User_59,user59@example.com,hashed_password,household,Delhi,4,2024-01-02
60,User_60,user60@example.com,hashed_password,household,Hyderabad,5,2024-07-12
61,User_61,user61@example.com,hashed_password,household,Hyderabad,3,2024-10-05
62,User_62,user62@example.com,hashed_password,household,Delhi,4,2024-02-01
63,User_63,user63@example.com,hashed_password,household,Hyderabad,1,2024-09-04
64,User_64,user64@example.com,hashed_password,household,Hyderabad,5,2024-09-07
65,User_65,user65@example.com,hashed_password,household,Bengaluru,1,2024-08-30
66,User_66,user66@example.com,hashed_password,household,Kolkata,5,2024-01-24
67,User_67,user67@example.com,hashed_password,household,Kolkata,3,2024-11-03
68,User_68,user68@example.com,hashed_password,household,Delhi,6,2024-05-28
69,User_69,user69@example.com,hashed_password,household,Bengaluru,1,2024-11-04
70,User_70,user70@example.com,hashed_password,household,Bengaluru,5,2024-01-05
71,User_71,user71@example.com,hashed_password,household,Hyderabad,4,2024-07-31
72,User_72,user72@example.com,hashed_password,household,Delhi,6,2024-09-08
73,User_73,user73@example.com,hashed_password,household,Mumbai,4,2024-05-01
74,User_74,user74@example.com,hashed_password,household,Chennai,3,2024-11-30
75,User_75,user75@example.com,hashed_password,household,Hyderabad,2,2024-06-05
76,User_76,user76@example.com,hashed_password,household,Delhi,1,2024-04-20
77,User_77,user77@example.com,hashed_password,household,Chennai,4,2024-02-12
78,User_78,user78@example.com,hashed_password,household,Kolkata,3,2024-02-13
79,User_79,user79@example.com,hashed_password,household,Bengaluru,2,2024-11-29
80,User_80,user80@example.com,hashed_password,household,Hyderabad,2,2024-07-16
81,User_81,user81@example.com,hashed_password,household,Pune,6,2024-12-03
82,User_82,user82@example.com,hashed_password,household,Hyderabad,3,2024-05-09
83,User_83,user83@example.com,hashed_password,household,Delhi,6,2024-06-03
84,User_84,user84@example.com,hashed_password,household,Delhi,3,2024-05-30
85,User_85,user85@example.com,hashed_password,household,Bengaluru,1,2024-05-25
86,User_86,user86@example.com,hashed_password,household,Chennai,5,2024-07-10
87,User_87,user87@example.com,hashed_password,household,Delhi,5,2024-05-13
88,User_88,user88@example.com,hashed_password,household,Kolkata,3,2024-04-01
89,User_89,user89@example.com,hashed_password,household,Hyderabad,6,2024-10-06
90,User_90,user90@example.com,hashed_password,household,Kolkata,3,2024-06-15
91,User_91,user91@example.com,hashed_password,household,Hyderabad,6,2024-12-08
92,User_92,user92@example.com,hashed_password,household,Chennai,1,2024-11-10
93,User_93,user93@example.com,hashed_password,household,Hyderabad,4,2024-05-20
94,User_94,user94@example.com,hashed_password,household,Chennai,1,2024-01-14
95,User_95,user95@example.com,hashed_password,household,Bengaluru,4,2024-03-11
96,User_96,user96@example.com,hashed_password,household,Kolkata,6,2024-01-02
97,User_97,user97@example.com,hashed_password,household,Hyderabad,6,2024-05-12
98,User_98,user98@example.com,hashed_password,household,Kolkata,4,2024-11-22
99,User_99,user99@example.com,hashed_password,household,Chennai,6,2024-10-17
100,User_100,user100@example.com,hashed_password,household,Kolkata,3,2024-05-16
101,User_101,user101@example.com,hashed_password,household,Mumbai,3,2024-02-20
102,User_102,user102@example.com,hashed_password,household,Kolkata,5,2024-03-16
103,User_103,user103@example.com,hashed_password,household,Chennai,2,2024-03-06
104,User_104,user104@example.com,hashed_password,household,Kolkata,5,2024-09-03
105,User_105,user105@example.com,hashed_password,household,Chennai,5,2024-08-23
106,User_106,user106@example.com,hashed_password,household,Kolkata,1,2024-12-02
107,User_107,user107@example.com,hashed_password,household,Delhi,2,2024-06-19
108,User_108,user108@example.com,hashed_password,household,Chennai,5,2024-08-26
109,User_109,user109@example.com,hashed_password,household,Chennai,1,2024-07-26
110,User_110,user110@example.com,hashed_password,household,Pune,6,2024-02-16
111,User_111,user111@example.com,hashed_password,household,Bengaluru,2,2024-01-25
112,User_112,user112@example.com,hashed_password,household,Pune,3,2024-01-19
113,User_113,user113@example.com,hashed_password,household,Chennai,6,2024-09-17
114,User_114,user114@example.com,hashed_password,household,Kolkata,2,2024-10-23
115,User_115,user115@example.com,hashed_password,household,Mumbai,5,2024-08-25
116,User_116,user116@example.com,hashed_password,household,Chennai,6,2024-02-23
117,User_117,user117@example.com,hashed_password,household,Chennai,3,2024-09-04
118,User_118,user118@example.com,hashed_password,household,Kolkata,2,2024-09-08
119,User_119,user119@example.com,hashed_password,household,Hyderabad,1,2024-11-28
120,User_120,user120@example.com,hashed_password,household,Mumbai,2,2024-07-22
121,User_121,user121@example.com,hashed_password,household,Bengaluru,6,2024-10-27
122,User_122,user122@example.com,hashed_password,household,Hyderabad,3,2024-08-01
123,User_123,user123@example.com,hashed_password,household,Mumbai,5,2024-11-07
124,User_124,user124@example.com,hashed_password,household,Delhi,1,2024-12-20
125,User_125,user125@example.com,hashed_password,household,Pune,5,2024-03-04
126,User_126,user126@example.com,hashed_password,household,Mumbai,6,2024-10-05
127,User_127,user127@example.com,hashed_password,household,Hyderabad,6,2024-12-11
128,User_128,user128@example.com,hashed_password,household,Delhi,3,2024-08-09
129,User_129,user129@example.com,hashed_password,household,Pune,4,2024-11-15
130,User_130,user130@example.com,hashed_password,household,Kolkata,5,2024-11-04
131,User_131,user131@example.com,hashed_password,household,Pune,6,2024-03-16
132,User_132,user132@example.com,hashed_password,household,Bengaluru,1,2024-07-24
133,User_133,user133@example.com,hashed_password,household,Delhi,5,2024-05-08
134,User_134,user134@example.com,hashed_password,household,Mumbai,4,2024-11-19
135,User_135,user135@example.com,hashed_password,household,Hyderabad,1,2024-12-09
136,User_136,user136@example.com,hashed_password,household,Delhi,5,2024-05-21
137,User_137,user137@example.com,hashed_password,household,Hyderabad,4,2024-07-21
138,User_138,user138@example.com,hashed_password,household,Chennai,6,2024-05-24
139,User_139,user139@example.com,hashed_password,household,Pune,6,2024-06-09
140,User_140,user140@example.com,hashed_password,household,Kolkata,1,2024-04-01
141,User_141,user141@example.com,hashed_password,household,Kolkata,1,2024-11-30
142,User_142,user142@example.com,hashed_password,household,Bengaluru,3,2024-04-23
143,User_143,user143@example.com,hashed_password,household,Chennai,1,2024-06-17
144,User_144,user144@example.com,hashed_password,household,Kolkata,6,2025-01-01
145,User_145,user145@example.com,hashed_password,household,Delhi,4,2024-12-11
146,User_146,user146@example.com,hashed_password,household,Pune,3,2024-06-26
147,User_147,user147@example.com,hashed_password,household,Delhi,4,2024-09-05
148,User_148,user148@example.com,hashed_password,household,Pune,1,2024-07-25
149,User_149,user149@example.com,hashed_password,household,Pune,4,2024-02-02
150,User_150,user150@example.com,hashed_password,household,Hyderabad,6,2024-08-31
151,User_151,user151@example.com,hashed_password,household,Mumbai,3,2024-11-01
152,User_152,user152@example.com,hashed_password,household,Chennai,4,2024-06-23
153,User_153,user153@example.com,hashed_password,household,Mumbai,2,2024-09-09
154,User_154,user154@example.com,hashed_password,household,Pune,6,2024-11-24
155,User_155,user155@example.com,hashed_password,household,Chennai,4,2024-03-05
156,User_156,user156@example.com,hashed_password,household,Pune,6,2024-12-28
157,User_157,user157@example.com,hashed_password,household,Mumbai,4,2024-03-26
158,User_158,user158@example.com,hashed_password,household,Bengaluru,6,2024-10-16
159,User_159,user159@example.com,hashed_password,household,Mumbai,2,2024-12-29
160,User_160,user160@example.com,hashed_password,household,Delhi,5,2024-01-07
